Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;5313.60; 0.522867;7.437345;5.464192;1.973153;14.075126;10.340948;0.933545;0.0000;
;5335.20; 0.523302;7.429653;5.456904;1.972748;14.048553;10.318330;0.932556;0.0000;
;5356.80; 0.523164;7.408010;5.435754;1.972256;13.991363;10.266401;0.931241;0.0000;
;5378.40; 0.522952;7.385476;5.414140;1.971336;13.960114;10.233872;0.931561;0.0000;
;5400.00; 0.523127;7.368074;5.397550;1.970524;13.903220;10.184931;0.929572;0.0000;
;5421.60; 0.523492;7.352866;5.381789;1.971077;13.874616;10.155259;0.929839;0.0000;
;5443.20; 0.523746;7.336676;5.364214;1.972463;13.871703;10.142301;0.932350;0.0000;
;5464.80; 0.524036;7.324773;5.352881;1.971892;13.863048;10.130996;0.933013;0.0000;
;5486.40; 0.524916;7.314808;5.342315;1.972493;13.864511;10.125842;0.934667;0.0000;
;5508.00; 0.524408;7.291487;5.319845;1.971642;13.829648;10.090066;0.934895;0.0000;
;5529.60; 0.524629;7.280916;5.309171;1.971745;13.784063;10.051200;0.933216;0.0000;
;5551.20; 0.524733;7.264644;5.293440;1.971204;13.758298;10.025092;0.933301;0.0000;
;5572.80; 0.524676;7.241347;5.271722;1.969625;13.684748;9.962537;0.930553;0.0000;
;5594.40; 0.524639;7.243097;5.271937;1.971161;13.700568;9.972049;0.932130;0.0000;
;5616.00; 0.524453;7.256733;5.282842;1.973892;13.732718;9.997304;0.933853;0.0000;
;5637.60; 0.524325;7.294523;5.318736;1.975787;13.817930;10.075220;0.935678;0.0000;
;5659.20; 0.524339;7.329573;5.354110;1.975464;13.902674;10.155631;0.936761;0.0000;
;5680.80; 0.524387;7.357444;5.383971;1.973474;13.970189;10.222990;0.936800;0.0000;
;5702.40; 0.524196;7.387464;5.411242;1.976222;14.026375;10.274177;0.938050;0.0000;
;5724.00; 0.524394;7.416180;5.441377;1.974802;14.055106;10.312471;0.935659;0.0000;
;5745.60; 0.524639;7.426680;5.450110;1.976570;14.071844;10.326700;0.936286;0.0000;
;5767.20; 0.524086;7.454194;5.478240;1.975954;14.139140;10.391145;0.936999;0.0000;
;5788.80; 0.524001;7.484478;5.506624;1.977854;14.194586;10.443513;0.937768;0.0000;
;5810.40; 0.524007;7.532887;5.554405;1.978482;14.308797;10.550650;0.939537;0.0000;
;5832.00; 0.524360;7.567335;5.589302;1.978032;14.366226;10.611025;0.938800;0.0000;
;5853.60; 0.524135;7.582148;5.604891;1.977257;14.387432;10.635506;0.937981;0.0000;
;5875.20; 0.524333;7.591456;5.613170;1.978286;14.400005;10.647453;0.938138;0.0000;
;5896.80; 0.524559;7.605199;5.627296;1.977903;14.432310;10.678863;0.938362;0.0000;
;5918.40; 0.524650;7.588097;5.611424;1.976673;14.404029;10.651829;0.938050;0.0000;
;5940.00; 0.524593;7.566821;5.591851;1.974969;14.375437;10.623393;0.938011;0.0000;
;5961.60; 0.524120;7.554523;5.579384;1.975139;14.360757;10.606120;0.938659;0.0000;
;5983.20; 0.523775;7.549006;5.576073;1.972932;14.332419;10.586641;0.936444;0.0000;
;6004.80; 0.523689;7.546719;5.573302;1.973417;14.337565;10.588387;0.937294;0.0000;
;6026.40; 0.523943;7.535118;5.560344;1.974774;14.344433;10.585101;0.939833;0.0000;
;6048.00; 0.523956;7.541905;5.565866;1.976039;14.334242;10.578557;0.938921;0.0000;
;6069.60; 0.524406;7.538822;5.562232;1.976590;14.335402;10.576829;0.939643;0.0000;
;6091.20; 0.524379;7.525542;5.548948;1.976594;14.305091;10.547839;0.939313;0.0000;
;6112.80; 0.524130;7.515176;5.539238;1.975938;14.301808;10.541485;0.940081;0.0000;
;6134.40; 0.524246;7.503304;5.527770;1.975534;14.276706;10.517813;0.939723;0.0000;
;6156.00; 0.524362;7.497682;5.520352;1.977330;14.255824;10.496199;0.939906;0.0000;
;6177.60; 0.524404;7.492179;5.514554;1.977625;14.227465;10.472003;0.938866;0.0000;
;6199.20; 0.524985;7.486017;5.507256;1.978761;14.219720;10.461055;0.939666;0.0000;
;6220.80; 0.524587;7.476695;5.496982;1.979714;14.193421;10.435222;0.939550;0.0000;
