Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;3736.80; 0.526311;2.757772;0.754749;2.003023;5.219202;1.428395;0.758162;0.0000;
;3758.40; 0.526275;2.753113;0.751533;2.001580;5.212360;1.422847;0.757902;0.0000;
;3780.00; 0.526719;2.749948;0.748160;2.001788;5.205746;1.416292;0.757891;0.0000;
;3801.60; 0.527169;2.749069;0.748078;2.000990;5.202620;1.415740;0.757376;0.0000;
;3823.20; 0.526565;2.745372;0.745473;1.999898;5.190419;1.409397;0.756204;0.0000;
;3844.80; 0.526950;2.752584;0.749680;2.002904;5.209988;1.418967;0.758204;0.0000;
;3866.40; 0.527168;2.752553;0.748783;2.003770;5.201861;1.415074;0.757357;0.0000;
;3888.00; 0.527720;2.749361;0.745700;2.003661;5.195221;1.409083;0.757228;0.0000;
;3909.60; 0.527225;2.746588;0.743465;2.003123;5.194585;1.406106;0.757696;0.0000;
;3931.20; 0.527260;2.744116;0.741136;2.002980;5.188335;1.401275;0.757412;0.0000;
;3952.80; 0.527051;2.741122;0.738739;2.002383;5.183320;1.396917;0.757281;0.0000;
;3974.40; 0.527630;2.738603;0.736104;2.002499;5.172768;1.390379;0.756478;0.0000;
;3996.00; 0.528234;2.733062;0.732736;2.000326;5.160959;1.383657;0.755460;0.0000;
;4017.60; 0.527579;2.733505;0.733895;1.999610;5.160788;1.385575;0.755043;0.0000;
;4039.20; 0.527709;2.731191;0.731759;1.999432;5.163197;1.383359;0.755968;0.0000;
;4060.80; 0.528214;2.728337;0.728739;1.999598;5.149349;1.375391;0.754792;0.0000;
;4082.40; 0.528577;2.727983;0.727848;2.000135;5.146704;1.373183;0.754704;0.0000;
;4104.00; 0.528443;2.724416;0.725834;1.998582;5.143339;1.370280;0.754612;0.0000;
;4125.60; 0.528053;2.727190;0.727878;1.999312;5.153979;1.375580;0.755680;0.0000;
;4147.20; 0.528127;2.723595;0.724594;1.999001;5.144203;1.368580;0.755125;0.0000;
;4168.80; 0.528084;2.723209;0.723541;1.999668;5.145831;1.367218;0.755723;0.0000;
;4190.40; 0.527508;2.736078;0.734705;2.001373;5.165746;1.387131;0.755723;0.0000;
;4212.00; 0.527987;2.744910;0.740302;2.004609;5.182473;1.397712;0.756952;0.0000;
;4233.60; 0.527723;2.744182;0.739787;2.004395;5.183548;1.397401;0.757229;0.0000;
;4255.20; 0.528066;2.751229;0.742743;2.008486;5.197033;1.403031;0.758800;0.0000;
;4276.80; 0.528017;2.756920;0.747381;2.009539;5.194007;1.408058;0.757190;0.0000;
;4298.40; 0.528185;2.756680;0.747453;2.009227;5.205556;1.411447;0.758822;0.0000;
;4320.00; 0.528063;2.755518;0.746612;2.008906;5.204106;1.410061;0.758809;0.0000;
;4341.60; 0.527228;2.749771;0.742897;2.006874;5.204290;1.406027;0.759653;0.0000;
;4363.20; 0.527305;2.746659;0.740872;2.005787;5.179918;1.397209;0.756542;0.0000;
;4384.80; 0.527463;2.747146;0.741030;2.006116;5.199426;1.402521;0.759381;0.0000;
;4406.40; 0.527341;2.740016;0.737511;2.002505;5.182781;1.395013;0.757554;0.0000;
;4428.00; 0.527057;2.736432;0.734897;2.001536;5.179191;1.390924;0.757653;0.0000;
;4449.60; 0.526887;2.743102;0.740300;2.002802;5.180327;1.398050;0.756455;0.0000;
;4471.20; 0.528199;2.741584;0.738531;2.003053;5.175133;1.394084;0.756210;0.0000;
;4492.80; 0.529024;2.736999;0.736096;2.000903;5.161255;1.388083;0.754634;0.0000;
;4514.40; 0.529234;2.732377;0.733284;1.999093;5.150213;1.382155;0.753612;0.0000;
;4536.00; 0.529777;2.731548;0.730969;2.000579;5.144897;1.376786;0.753622;0.0000;
;4557.60; 0.529888;2.726519;0.728103;1.998416;5.137383;1.371912;0.753094;0.0000;
