Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;5551.20; 0.524733;2.637023;0.665819;1.971204;5.017047;1.266749;0.750060;0.0000;
;5572.80; 0.524676;2.632806;0.663181;1.969625;5.010940;1.262212;0.749745;0.0000;
;5594.40; 0.524639;2.641501;0.670341;1.971161;5.028242;1.276030;0.750442;0.0000;
;5616.00; 0.524453;2.651075;0.677184;1.973892;5.038695;1.287071;0.750325;0.0000;
;5637.60; 0.524325;2.665194;0.689407;1.975787;5.066343;1.310514;0.751166;0.0000;
;5659.20; 0.524339;2.665243;0.689780;1.975464;5.076744;1.313890;0.752571;0.0000;
;5680.80; 0.524387;2.662637;0.689163;1.973474;5.065754;1.311155;0.750920;0.0000;
;5702.40; 0.524196;2.669297;0.693075;1.976222;5.083267;1.319855;0.752682;0.0000;
;5724.00; 0.524394;2.669371;0.694569;1.974802;5.081468;1.322196;0.751855;0.0000;
;5745.60; 0.524639;2.669444;0.692874;1.976570;5.074085;1.317017;0.751414;0.0000;
;5767.20; 0.524086;2.670129;0.694175;1.975954;5.085094;1.322013;0.752616;0.0000;
;5788.80; 0.524001;2.672003;0.694149;1.977854;5.090100;1.322336;0.753553;0.0000;
;5810.40; 0.524007;2.674691;0.696209;1.978482;5.091745;1.325356;0.753278;0.0000;
;5832.00; 0.524360;2.672693;0.694661;1.978032;5.086953;1.322152;0.752960;0.0000;
;5853.60; 0.524135;2.669229;0.691972;1.977257;5.083094;1.317743;0.753070;0.0000;
;5875.20; 0.524333;2.669649;0.691362;1.978286;5.083822;1.316564;0.753452;0.0000;
;5896.80; 0.524559;2.670099;0.692196;1.977903;5.080101;1.316965;0.752627;0.0000;
;5918.40; 0.524650;2.666918;0.690245;1.976673;5.076426;1.313868;0.752512;0.0000;
;5940.00; 0.524593;2.663247;0.688278;1.974969;5.066823;1.309448;0.751475;0.0000;
;5961.60; 0.524120;2.664571;0.689433;1.975139;5.072482;1.312456;0.752005;0.0000;
;5983.20; 0.523775;2.660893;0.687960;1.972932;5.074518;1.311991;0.752505;0.0000;
;6004.80; 0.523689;2.659826;0.686409;1.973417;5.070443;1.308507;0.752387;0.0000;
;6026.40; 0.523943;2.659810;0.685036;1.974774;5.064091;1.304260;0.751966;0.0000;
;6048.00; 0.523956;2.665933;0.689893;1.976039;5.076644;1.313741;0.752581;0.0000;
;6069.60; 0.524406;2.664702;0.688112;1.976590;5.071375;1.309592;0.752357;0.0000;
;6091.20; 0.524379;2.662627;0.686032;1.976594;5.057235;1.303009;0.750845;0.0000;
;6112.80; 0.524130;2.660286;0.684348;1.975938;5.064529;1.302829;0.752340;0.0000;
;6134.40; 0.524246;2.658110;0.682576;1.975534;5.061100;1.299640;0.752292;0.0000;
;6156.00; 0.524362;2.663030;0.685700;1.977330;5.067758;1.304890;0.752574;0.0000;
;6177.60; 0.524404;2.661658;0.684033;1.977625;5.068738;1.302640;0.753220;0.0000;
;6199.20; 0.524985;2.661401;0.682640;1.978761;5.063892;1.298870;0.753004;0.0000;
;6220.80; 0.524587;2.662018;0.682304;1.979714;5.062933;1.297685;0.753050;0.0000;
